,edh_person_id,name,praenomen,nomen,cognomen,supernomen,gender,age,tribus,status,religion,occupation,edh_inscription_id,inscription_text,inscription_type,not_before,not_after,origo,origo_clean,auto_origo_geo,origo_pleiades_id,origo_pleiades_name,origo_certainty,origo_geo_source_url,origo_geometry,findspot_name,findspot_ancient,findspot_modern,findspot_geometry,origo_line,1BCE,1CE,2CE,3CE,4CE,5CE
10,HD000120/1,Aur. Fro[---] nat. Da[---],,Aurelio*,Fro[---],,male,at least 10,,military personnel,,,HD000120,Dis Manibus Aurelio Fro militi cohortis ni vixit annos X natione Da us Lucan,epitaph,201.0,250.0,natione* Da[---],Da[---],False,981518.0,Dacia (province),uncertain (another good variant exists),https://pleiades.stoa.org/places/981522,POINT (22.5 47.5),"Via Nomentana, Hotel Villa Florence",Roma,Roma,POINT (12.4823 41.8955),"LINESTRING (22.5 47.5, 12.4823 41.8955)",False,False,False,True,False,False
11,HD000126/2,Iulie(!) Ma. Germanicopolis in B.,,Iulia,Ma(---),,female,,,,,,HD000126,Dis Manibus Aurelius Taurus miles cohortis II praetoriae posuit matri bene merenti Iuliae Ma Germanicopolis in Bithynia,epitaph,222.0,235.0,Germanicopolis in Bithynia*?,Germanicopolis in Bithynia,False,844926.0,Gangra,certain,nan,POINT (33.6134213 40.6013428),NULL,Roma,Roma,POINT (12.4823 41.8955),"LINESTRING (33.6134213 40.6013428, 12.4823 41.8955)",False,False,False,True,False,False
12,HD000127/2,M. Aeli Aeliani Si.,M.,Aelius,Aelianus,,male,,,,,,HD000127,Stercusia Marci Aeli Aeliani Singiliensis serva annorum LIII hic sita est sit tibi terra levis,epitaph,71.0,130.0,Singilensis*,Singiliensis,False,256453.0,Singili(a) Barba,certain,nan,POINT (-4.63052115 37.032479),Cortijo de la Colada,Sabora,Cañete la Real,POINT (-5.0244 36.9515),"LINESTRING (-4.63052115 37.032479, -5.0244 36.9515)",False,True,True,False,False,False
13,HD000129/1,L. Licinius Pom. Pudens Dertona,L.,Licinius,Pudens,,male,36,Pomptina,military personnel,,,HD000129,Lucius Licinius Pomptina Pudens Dertona militavit cohorte IIII praetoria annis XVI vixit annis XXXVI et frater Sextus Licinius Pomptina Mansuetus Dertona militavit cohorte XV urbana annis X vixit annis XXIIX et Pompeius Primus sororis filius vixit annis XV,epitaph,41.0,68.0,Dertona,Dertona,True,383633.0,Dertona,certain,nan,POINT (8.865452 44.897171),NULL,Roma,Roma,POINT (12.4823 41.8955),"LINESTRING (8.865452 44.897171, 12.4823 41.8955)",False,True,False,False,False,False
14,HD000129/2,Sex. Licinius Pom. Masuetus(!) Dert.,Sex.,Licinius,Masuetus (= Mansuetus),,male,29,Pomptina,military personnel,,,HD000129,Lucius Licinius Pomptina Pudens Dertona militavit cohorte IIII praetoria annis XVI vixit annis XXXVI et frater Sextus Licinius Pomptina Mansuetus Dertona militavit cohorte XV urbana annis X vixit annis XXIIX et Pompeius Primus sororis filius vixit annis XV,epitaph,41.0,68.0,Dertona*,Dertona,True,383633.0,Dertona,certain,nan,POINT (8.865452 44.897171),NULL,Roma,Roma,POINT (12.4823 41.8955),"LINESTRING (8.865452 44.897171, 12.4823 41.8955)",False,True,False,False,False,False
15,HD000157/1,Hyalissus Luce.,,,Hyalissus,,male,,,,,,HD000157,Hyalissus Lucerinus Socconi Frontonis delicium,epitaph,1.0,100.0,Lucerinus*,Luceria,False,442640.0,Luceria/Noukeria (Apoulon),certain,nan,POINT (15.3354745 41.5086475),Pezza del Lago,Luceria,Lucera,POINT (15.3359 41.5092),"LINESTRING (15.3354745 41.5086475, 15.3359 41.5092)",False,True,False,False,False,False
16,HD000171/1,[---] Cundenae f. Caladu[n]us,,,[---],,male,70,,,,,HD000171,Cundenae filius Caladunus annorum LXX hic situs est,epitaph,1.0,200.0,Caladunus+,Caladunus,False,236395.0,Caladunum,certain,nan,POINT (-7.634577 41.856332),Casa do Avelar,Bracara Augusta,Braga,POINT (-8.42 41.5503),"LINESTRING (-7.634577 41.856332, -8.42 41.5503)",False,True,True,False,False,False
17,HD000192/1,Aurel. Daicosi nat. Thrax,,Aurelius*,Daicosis,,male,,,military personnel,,,HD000192,Dis Manibus Aurelio Daicosi equiti singulari turma Melatis natione Thrax vixit annos XXX militavit annos XIII Aurelius Daicon miles cohortis VIII praetoriae centuria Florentini fratri,epitaph,201.0,300.0,natione* Thrax,Thracia,False,501638.0,Thracia,certain,nan,POINT (26.9624137954 41.5178303653),"Via Labicana, Friedhof der equites singulares",Roma,Roma,POINT (12.4823 41.8955),"LINESTRING (26.9624137954 41.5178303653, 12.4823 41.8955)",False,False,False,True,False,False
19,HD000224/1,G. M. Zosimo natione Italo,C.,M(---),Zosimus,,male,,,military personnel,,,HD000224,Dis Manibus sacrum Gaio M Zosimo beneficiario legionis VII geminae piae felicis natione Italo stipendiorumN XX qui vixit annis XXXVII mensibus VII diebus XXXXVIIII Iunia Vera coniugi benignissimo piissimoRCINIO posuit hic situs est sit tibi terra levis,epitaph,197.0,250.0,natione Italo,Italia,False,1052.0,Italia,certain,nan,POINT (11.0949512 43.6941505),"Casa del Anfiteatro, bei",Emerita Augusta,Mérida,POINT (-6.3437 38.9161),"LINESTRING (11.0949512 43.6941505, -6.3437 38.9161)",False,False,True,True,False,False
20,HD000267/1,[--- Urb?]anus C(?)[---] Igabren[si-],[-],[---],Urbanus+?,,,,,,,,HD000267,Dis Manibus sacrum Urbanus C Igabrensi annorum pius in suis hic situs est sit tibi terra levis Primigenius Urbani libertus annorum VIIII pius in suis hic situs est sit tibi terra levis,epitaph,151.0,200.0,Igabrensis+,Igabrensis,False,265919.0,Igabrum/Egabrum,certain,nan,POINT (-4.425943 37.474155),NULL,Igabrum,Cabra,POINT (-4.4259 37.4744),"LINESTRING (-4.425943 37.474155, -4.4259 37.4744)",False,False,True,False,False,False
21,HD000272/4,Nigro et Rufo et Prisco Turdulis Veteribus,,,Niger,,male,,,,,,HD000272,Quinto Caecilio Metello Aulo Licinio consulibus Decimus Iulius Decimi filius Galeria Cilo hospitium fecit sibi liberis posteris que suis cum Nigro et Rufo et Prisco Turdulis Veteribus liberis posteris que eorum,private legal inscription,7.0,,Turdulus Vetus,Turdulus Vetus,False,236695.0,Turduli Veteres,certain,nan,POINT (-8.44365905977 40.9908379194),"Idanha, Wohnhaus",Civitas Igaeditanorum,Idanha-a-Velha,POINT (-7.1435 39.9965),"LINESTRING (-8.44365905977 40.9908379194, -7.1435 39.9965)",False,True,False,False,False,False
22,HD000272/5,Nigro et Rufo et Prisco Turdulis Veteribus,,,Rufus,,male,,,,,,HD000272,Quinto Caecilio Metello Aulo Licinio consulibus Decimus Iulius Decimi filius Galeria Cilo hospitium fecit sibi liberis posteris que suis cum Nigro et Rufo et Prisco Turdulis Veteribus liberis posteris que eorum,private legal inscription,7.0,,Turdulus Vetus,Turdulus Vetus,False,236695.0,Turduli Veteres,certain,nan,POINT (-8.44365905977 40.9908379194),"Idanha, Wohnhaus",Civitas Igaeditanorum,Idanha-a-Velha,POINT (-7.1435 39.9965),"LINESTRING (-8.44365905977 40.9908379194, -7.1435 39.9965)",False,True,False,False,False,False
23,HD000272/6,Nigro et Rufo et Prisco Turdulis Veteribus,,,Priscus,,male,,,,,,HD000272,Quinto Caecilio Metello Aulo Licinio consulibus Decimus Iulius Decimi filius Galeria Cilo hospitium fecit sibi liberis posteris que suis cum Nigro et Rufo et Prisco Turdulis Veteribus liberis posteris que eorum,private legal inscription,7.0,,Turdulus Vetus,Turdulus Vetus,False,236695.0,Turduli Veteres,certain,nan,POINT (-8.44365905977 40.9908379194),"Idanha, Wohnhaus",Civitas Igaeditanorum,Idanha-a-Velha,POINT (-7.1435 39.9965),"LINESTRING (-8.44365905977 40.9908379194, -7.1435 39.9965)",False,True,False,False,False,False
24,HD000275/4,Lugario Septanii f. ex Turduleis Veteribus,,,Lugarius,,male,,,,,,HD000275,Quinto Sulpicio Camerino Caio Poppaeo Sabino consulibus Decimus Iulius Marci filius Galeria Cilo hospitium fecit cum Lugario Septanii filio ex Turduleis Veteribus eum que et leiberos posteros que eius in fidem clientelam que suam recepit leiberorum posterorum que suorum egit Lugarius Septanii,private legal inscription,9.0,,ex Turduleis Veteribus,Turduleis Veteribus,False,236695.0,Turduli Veteres,certain,nan,POINT (-8.44365905977 40.9908379194),"Idanha, Wohnhaus",Civitas Igaeditanorum,Idanha-a-Velha,POINT (-7.1435 39.9965),"LINESTRING (-8.44365905977 40.9908379194, -7.1435 39.9965)",False,True,False,False,False,False
25,HD000335/1,M. Iulius Avitus Olisip.,M.,Iulius,Avitus,,male,30,,,,,HD000335,Marcus Iulius Avitus Olisiponensis annorum XXX hic situs est,epitaph,1.0,200.0,Olisiponensis*,Olisiponensis,False,256338.0,Olisipo,certain,nan,POINT (-9.135507 38.707166),NULL,Pax Iulia,Beja,POINT (-7.8652 38.0156),"LINESTRING (-9.135507 38.707166, -7.8652 38.0156)",False,True,True,False,False,False
26,HD000358/1,C. Cassius C.f. Cla. Valens Var[var.],C.,Cassius,Valens,,male,,Claudia,,,,HD000358,Caius Cassius Cai filius Claudia Valens Varvaria,epitaph,1.0,100.0,Varvaria+*,Varvaria,True,197574.0,Varvaria,certain,nan,POINT (15.842858 43.925326),Fort Stahlberg,Mogontiacum,Mainz,POINT (8.2569 49.9897),"LINESTRING (15.842858 43.925326, 8.2569 49.9897)",False,True,False,False,False,False
27,HD000423/1,C. Iulius Paris Igil.,C.,Iulius,Paris,,,35,,,,,HD000423,Caius Iulius Paris Igilgili vixit annos XXXV hic est situs,epitaph,1.0,100.0,Igilgili*,Igilgili,True,305095.0,Igilgili,certain,nan,POINT (5.765676 36.820982),NULL,Sicca Veneria,Le Kef,POINT (8.7049 36.1742),"LINESTRING (5.765676 36.820982, 8.7049 36.1742)",False,True,False,False,False,False
28,HD000432/1,C. Cla. Claudi Maximi f. Floro Sunuco,C.,Claudius*,Florus,,male,,,,,,HD000432,Caio Claudio Claudi Maximi filio Floro Sunuco Claudia Severa mater faciendum curavit civitas Aeduorum locum sepulturae monumentum publice donavit,epitaph,51.0,130.0,Sunucus,Sunucus,False,109358.0,Sunuci,certain,nan,POINT (6.31570753763 50.7951334955),"Nekropole Saint-Irénée, sekundär verwendet",Lugdunum,Lyon,POINT (4.85 45.75),"LINESTRING (6.31570753763 50.7951334955, 4.85 45.75)",False,True,True,False,False,False
29,HD000493/1,P. Ael. Cl. Col. Vol.,P.,Aelius*,Col(---),,male,,Claudia,military personnel,names of pagan deities,,HD000493,Iovi Optimo Maximo Dolicheno Publius Aelius Claudia Col Iprimus pilus legionis Volubili III Augustae,votive inscription,151.0,250.0,Volubilis*,Volubilis,True,275740.0,Volubilis,certain,nan,POINT (-5.55486856497 34.0728746739),NULL,Lambaesis,Tazoult-Lambèse,POINT (6.2607 35.4817),"LINESTRING (-5.55486856497 34.0728746739, 6.2607 35.4817)",False,False,True,True,False,False
30,HD000532/1,M. Aur. Sallumas domo Hemesa,M.,Aurelius*,Sallumas,,male,82,,military personnel,,,HD000532,Dis Manibus Marcus Aurelius Sallumas veteranus ex tesserario cohortis miliariae Hemesenorum domo Hemesa annorum LXXXII vivo sibi et Aureliae matri et quondam coniugi NV,epitaph,231.0,270.0,domo Hemesa,Hemesa,False,668261.0,(H)Emesa,certain,nan,POINT (36.719319 34.7376565),Weinberg des Gáspár Farkas,Intercisa,Dunaújváros,POINT (18.9355 46.9619),"LINESTRING (36.719319 34.7376565, 18.9355 46.9619)",False,False,False,True,False,False
31,HD000538/6,Culso Atedumi fil. Eravisco,,,Culsus,,male,,,military personnel,names of pagan deities,,HD000538,Imperator Caesar divi Hadriani filius divi Traiani Parthici nepos divi Nervae pronepos Titus Aelius Hadrianus Antoninus Augustus Pius pontifex maximus tribunicia potestate XIX imperator II consul IIII pater patriae equitibus et peditibus qui militaverunt in alis V quae appellantur I Thracum veterana sagittariorum et I civium Romanorum et I praetoria civium Romanorum et I Flavia Augusta Britannica Mmiliaria et I Augusta Ituraeorum et cohortibus XIII I Alpinorum equitata et III Batavorum et I Thracum Germanica et I Alpinorum peditata et I Noricorum et III Lusitanorum et II Asturum et Callaecorum et VII Breucorum et I Lusitanorum et II Augusta Thracum et I Montanorum et I Campanorum voluntariorum et I Thracum civium Romanorum et sunt in Pannonia inferiore sub Iallio Basso legato quin que et viginti item classicis sex et viginti stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dedit et conubium cum uxoribus quas tunc habuissent cum est civitas is data aut cum is quas postea duxissent dumtaxat singulis ante diem VI Idus Februarias Marco Civica Barbaro Marco Metilio Regulo consulibus cohortis I Thracum Germanicae cui praeest Caius Turpilius Verecundus ex pedite Culso Atedumi filio Eravisco et Vervedae Tessimari filiae uxori eius Eraviscae descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam Imperator Caesar divi Hadriani filius divi Traiani Parthici nepos divi Nervae pronepos Titus Aelius Hadrianus Antoninus Augustus Pius pontifex maximus tribunicia potestate XVIIII imperator II consul IIII pater patriae equitibus et peditibus qui militaverunt in alis V quae appellantur I Thracum veterana sagittariorum et I civium Romanorum et I praetoria civium Romanorum et I Flavia Augusta Britannica Mmiliaria et I Augusta Ituraeorum et cohortibus XIII I Alpinorum equitata et III Batavorum et I Thracum Germanica et I Alpinorum peditata et I Noricorum et III Lusitanorum et II Asturum et Callaecorum et VII Breucorum et I Lusitanorum et II Augusta Thracum et I Montanorum et I Campanorum voluntariorum et I Thracum civium Romanorum et sunt in Pannonia inferiore sub Iallio Basso legato XXV item classicis XXVI stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dedit et conubium cum uxoribus quas tunc habuissent cum est civitas is data aut cum is quas postea duxissent dumtaxat singulis ante diem VI Idus Februarias Marco Civica Barbaro et Regulo consulibus cohortis I Thracum Germanicae cui praeest Caius Turpilius Verecundus ex pedite Culso Atedumi filio Eravisco et Vervedae Tessimari filiae uxori eius Canac descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam Marci Servili Getae Luci Pulli Chresimi Marci Sentili Iasi Tiberi Iuli Felicis Cai Belli Urbani Cai Pomponi Statiani Publi Ocili Prisci,military diploma,157.0,,Eraviscus,Eravisca,False,197265.0,Eravisci,certain,nan,POINT (18.5757197082 47.2037665448),"Lager, bei",Lussonium,Dunakömlőd,POINT (18.8824 46.6555),"LINESTRING (18.5757197082 47.2037665448, 18.8824 46.6555)",False,False,True,False,False,False
32,HD000538/8,Vervedae Tessimari fil. Era.,,,Verveda,,female,,,,names of pagan deities,,HD000538,Imperator Caesar divi Hadriani filius divi Traiani Parthici nepos divi Nervae pronepos Titus Aelius Hadrianus Antoninus Augustus Pius pontifex maximus tribunicia potestate XIX imperator II consul IIII pater patriae equitibus et peditibus qui militaverunt in alis V quae appellantur I Thracum veterana sagittariorum et I civium Romanorum et I praetoria civium Romanorum et I Flavia Augusta Britannica Mmiliaria et I Augusta Ituraeorum et cohortibus XIII I Alpinorum equitata et III Batavorum et I Thracum Germanica et I Alpinorum peditata et I Noricorum et III Lusitanorum et II Asturum et Callaecorum et VII Breucorum et I Lusitanorum et II Augusta Thracum et I Montanorum et I Campanorum voluntariorum et I Thracum civium Romanorum et sunt in Pannonia inferiore sub Iallio Basso legato quin que et viginti item classicis sex et viginti stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dedit et conubium cum uxoribus quas tunc habuissent cum est civitas is data aut cum is quas postea duxissent dumtaxat singulis ante diem VI Idus Februarias Marco Civica Barbaro Marco Metilio Regulo consulibus cohortis I Thracum Germanicae cui praeest Caius Turpilius Verecundus ex pedite Culso Atedumi filio Eravisco et Vervedae Tessimari filiae uxori eius Eraviscae descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam Imperator Caesar divi Hadriani filius divi Traiani Parthici nepos divi Nervae pronepos Titus Aelius Hadrianus Antoninus Augustus Pius pontifex maximus tribunicia potestate XVIIII imperator II consul IIII pater patriae equitibus et peditibus qui militaverunt in alis V quae appellantur I Thracum veterana sagittariorum et I civium Romanorum et I praetoria civium Romanorum et I Flavia Augusta Britannica Mmiliaria et I Augusta Ituraeorum et cohortibus XIII I Alpinorum equitata et III Batavorum et I Thracum Germanica et I Alpinorum peditata et I Noricorum et III Lusitanorum et II Asturum et Callaecorum et VII Breucorum et I Lusitanorum et II Augusta Thracum et I Montanorum et I Campanorum voluntariorum et I Thracum civium Romanorum et sunt in Pannonia inferiore sub Iallio Basso legato XXV item classicis XXVI stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dedit et conubium cum uxoribus quas tunc habuissent cum est civitas is data aut cum is quas postea duxissent dumtaxat singulis ante diem VI Idus Februarias Marco Civica Barbaro et Regulo consulibus cohortis I Thracum Germanicae cui praeest Caius Turpilius Verecundus ex pedite Culso Atedumi filio Eravisco et Vervedae Tessimari filiae uxori eius Canac descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam Marci Servili Getae Luci Pulli Chresimi Marci Sentili Iasi Tiberi Iuli Felicis Cai Belli Urbani Cai Pomponi Statiani Publi Ocili Prisci,military diploma,157.0,,Eravisca*,Eravisca,False,197265.0,Eravisci,certain,nan,POINT (18.5757197082 47.2037665448),"Lager, bei",Lussonium,Dunakömlőd,POINT (18.8824 46.6555),"LINESTRING (18.5757197082 47.2037665448, 18.8824 46.6555)",False,False,True,False,False,False
33,HD000570/1,Vindicin. [--- col. Cl. A]grippin.,,Vindicinius*,[---],,male,,,military personnel,,,HD000570,Dis Manibus et memoriae aeternae Vindicini colonia Claudia Agrippinensium veterani missi honesta missione ex aquilifero legionis I Minerviae piae fidelis Vindicinius Paternus heres ponendum curavit,epitaph,197.0,275.0,colonia+* Claudia+* Agrippinensium+*,colonia Agrippinensium,False,108751.0,Ara Ubiorum/ Col. Claudia Ara  Agrippinensium,certain,nan,POINT (6.9599065 50.940662),"Frühchristl. Basilika Quartier St. Just, sekundär verwendet",Lugdunum,Lyon,POINT (4.85 45.75),"LINESTRING (6.9599065 50.940662, 4.85 45.75)",False,False,True,True,False,False
34,HD000600/1,[--- Pompt?]ina A[rr]etio,[-],[---],[---],,male,,Pomptina+,military personnel,,,HD000600,Pomptina Arretio miles legionis VII anniorum VM stipendiorum IX hic situs,epitaph,9.0,57.0,Arretio+,Arretio,False,413032.0,Arretium,certain,nan,POINT (11.863048 43.471274),1-279 etc. bleibend (111),Salonae - 0a1,Solin - 0a1,POINT (16.4942 43.5445),"LINESTRING (11.863048 43.471274, 16.4942 43.5445)",False,True,False,False,False,False
35,HD000658/1,L. Iul. Ga[---] civi Treve[ro],L.,Iulius*,Ga[---],,male,45,,,,,HD000658,Dis Manibus Lucio Iulio Ga civi Trevero annorum XXXXV Iulia Egloge patrono et coniugi,epitaph,131.0,200.0,civis Treverus+,Trevir,False,109390.0,Treveri,certain,nan,POINT (6.3794391642 49.7535677891),"Partoş, Strada Dacilor",Apulum,Alba Iulia,POINT (23.5578 46.0432),"LINESTRING (6.3794391642 49.7535677891, 23.5578 46.0432)",False,False,True,False,False,False
36,HD000668/20,[---]assius Eihar f. Salluiensis,,,[---]assius,,male,,,,,,HD000668,Senatus Contrebiensis quei tum aderunt iudices sunto sei parret agrum quem Sallvienses ab Sosinestaneis emerunt rivi faciendi aquaive ducendae causa qua de re agitur Sosinestanos iure suo Sallviensibus vendidisse inviteis Allavonensibus tum sei ita parret eei iudices iudicent eum agrum qua de re agitur Sosinestanos Sallviensibus iure suo vendidisse sei non parret iudicent iure suo non vendidisse eidem quei supra scriptei sunt iudices sunto sei Sosinestana ceivitas esset tum qua Sallviensis novissume publice depalarunt qua de re agitur sei intra eos palos Sallviensis rivom per agrum publicum Sosinestanorum iure suo facere liceret aut sei per agrum preivatum Sosinestanorum qua rivom fieri oporteret rivom iure suo Sallviensibus facere liceret dum quanti is ager aestumatus esset qua rivos duceretur Sallvienses pequniam solverent tum sei ita parret eei iudices iudicent Sallviensibus rivom iure suo facere licere sei non parret iudicent iure suo facere non licere sei iudicarent Sallviensibus rivom facere licere tum quos magistratus Contrebiensis quin que ex senatu suo dederit eorum arbitratu pro agro preivato qua rivos ducetur Sallvienses publice pequniam solvonto iudicium addeixit Caius Valerius Cai filius Flaccus imperator sententiam deixerunt quod iudicium nostrum est qua de re agitur secundum Sallvienses iudicamus quom ea res iudicatast magistratus Contrebienses heisce fuerunt Lubbus Urdinocum Letondonis filius praetor Lesso Siriscum Lubbi filius magistratus Babbus Bolgondiscum Ablonis filius magistratus Segilus Annicum Lubbi filius magistratus ulovicum Uxe i filius magistratus Ablo Tindilicum Lubbi filius magistratus caussam Sallviensium defendit assius Eihar filius Salluiensis caussam Allavonensium defendit Turibas Teitabas filius Allavonensis actum Contrebiae Balaiscae Eidibus Maieis Lucio Cornelio Cnaeo Octavio consulibus,public legal inscription,-87.0,,Salluiensis,Saliniensis,False,481979.0,Salluntum,certain,nan,POINT (19.003655 42.721453),Cabezo de las Minas,Contrebia,Botorrita,POINT (-1.031 41.5071),"LINESTRING (19.003655 42.721453, -1.031 41.5071)",True,False,False,False,False,False
