edh_person_id,name,praenomen,nomen,cognomen,supernomen,gender,age,tribus,status,religion,occupation,edh_inscription_id,inscription_text,inscription_type,not_before,not_after,origo,origo_clean,auto_origo_geo,origo_pleiades_id,origo_pleiades_name,origo_certainty,manual_check_certainty,manual_check_notes,origo_geo_source_url,origo_geometry,findspot_name,findspot_ancient,findspot_modern,findspot_geometry,X1BCE,X1CE,X2CE,X3CE,X4CE,X5CE,X__index_level_0__,origo_line
HD000120/1,Aur. Fro[---] nat. Da[---],NA,Aurelio*,Fro[---],NA,male,at least 10,NA,military personnel,NA,NA,HD000120,Dis Manibus Aurelio Fro militi cohortis ni vixit annos X natione Da us Lucan,epitaph,201,250,natione* Da[---],Da[---],FALSE,981518,Dacia (province),uncertain (another good variant exists),,,https://pleiades.stoa.org/places/981522,POINT (22.5 47.5),"Via Nomentana, Hotel Villa Florence",Roma,Roma,POINT (12.4823 41.8955),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,"c(22.5, 12.4823, 47.5, 41.8955)"
HD000126/2,Iulie(!) Ma. Germanicopolis in B.,NA,Iulia,Ma(---),NA,female,NA,NA,NA,NA,NA,HD000126,Dis Manibus Aurelius Taurus miles cohortis II praetoriae posuit matri bene merenti Iuliae Ma Germanicopolis in Bithynia,epitaph,222,235,Germanicopolis in Bithynia*?,Germanicopolis in Bithynia,FALSE,844926,Gangra,certain,,,nan,POINT (33.6134213 40.6013428),NULL,Roma,Roma,POINT (12.4823 41.8955),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11,"c(33.6134213, 12.4823, 40.6013428, 41.8955)"
HD000127/2,M. Aeli Aeliani Si.,M.,Aelius,Aelianus,NA,male,NA,NA,NA,NA,NA,HD000127,Stercusia Marci Aeli Aeliani Singiliensis serva annorum LIII hic sita est sit tibi terra levis,epitaph,71,130,Singilensis*,Singiliensis,FALSE,256453,Singili(a) Barba,certain,,,nan,POINT (-4.63052115 37.032479),Cortijo de la Colada,Sabora,Cañete la Real,POINT (-5.0244 36.9515),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,12,"c(-4.63052115, -5.0244, 37.032479, 36.9515)"
HD000129/1,L. Licinius Pom. Pudens Dertona,L.,Licinius,Pudens,NA,male,36,Pomptina,military personnel,NA,NA,HD000129,Lucius Licinius Pomptina Pudens Dertona militavit cohorte IIII praetoria annis XVI vixit annis XXXVI et frater Sextus Licinius Pomptina Mansuetus Dertona militavit cohorte XV urbana annis X vixit annis XXIIX et Pompeius Primus sororis filius vixit annis XV,epitaph,41,68,Dertona,Dertona,TRUE,383633,Dertona,certain,,,nan,POINT (8.865452 44.897171),NULL,Roma,Roma,POINT (12.4823 41.8955),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13,"c(8.865452, 12.4823, 44.897171, 41.8955)"
HD000129/2,Sex. Licinius Pom. Masuetus(!) Dert.,Sex.,Licinius,Masuetus (= Mansuetus),NA,male,29,Pomptina,military personnel,NA,NA,HD000129,Lucius Licinius Pomptina Pudens Dertona militavit cohorte IIII praetoria annis XVI vixit annis XXXVI et frater Sextus Licinius Pomptina Mansuetus Dertona militavit cohorte XV urbana annis X vixit annis XXIIX et Pompeius Primus sororis filius vixit annis XV,epitaph,41,68,Dertona*,Dertona,TRUE,383633,Dertona,certain,,,nan,POINT (8.865452 44.897171),NULL,Roma,Roma,POINT (12.4823 41.8955),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14,"c(8.865452, 12.4823, 44.897171, 41.8955)"
HD000157/1,Hyalissus Luce.,NA,NA,Hyalissus,NA,male,NA,NA,NA,NA,NA,HD000157,Hyalissus Lucerinus Socconi Frontonis delicium,epitaph,1,100,Lucerinus*,Luceria,FALSE,442640,Luceria/Noukeria (Apoulon),certain,,,nan,POINT (15.3354745 41.5086475),Pezza del Lago,Luceria,Lucera,POINT (15.3359 41.5092),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,15,"c(15.3354745, 15.3359, 41.5086475, 41.5092)"
HD000171/1,[---] Cundenae f. Caladu[n]us,NA,NA,[---],NA,male,70,NA,NA,NA,NA,HD000171,Cundenae filius Caladunus annorum LXX hic situs est,epitaph,1,200,Caladunus+,Caladunus,FALSE,236395,Caladunum,certain,,,nan,POINT (-7.634577 41.856332),Casa do Avelar,Bracara Augusta,Braga,POINT (-8.42 41.5503),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,16,"c(-7.634577, -8.42, 41.856332, 41.5503)"
HD000192/1,Aurel. Daicosi nat. Thrax,NA,Aurelius*,Daicosis,NA,male,NA,NA,military personnel,NA,NA,HD000192,Dis Manibus Aurelio Daicosi equiti singulari turma Melatis natione Thrax vixit annos XXX militavit annos XIII Aurelius Daicon miles cohortis VIII praetoriae centuria Florentini fratri,epitaph,201,300,natione* Thrax,Thracia,FALSE,501638,Thracia,certain,,,nan,POINT (26.9624137954 41.5178303653),"Via Labicana, Friedhof der equites singulares",Roma,Roma,POINT (12.4823 41.8955),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,17,"c(26.9624137954, 12.4823, 41.5178303653, 41.8955)"
HD000224/1,G. M. Zosimo natione Italo,C.,M(---),Zosimus,NA,male,NA,NA,military personnel,NA,NA,HD000224,Dis Manibus sacrum Gaio M Zosimo beneficiario legionis VII geminae piae felicis natione Italo stipendiorumN XX qui vixit annis XXXVII mensibus VII diebus XXXXVIIII Iunia Vera coniugi benignissimo piissimoRCINIO posuit hic situs est sit tibi terra levis,epitaph,197,250,natione Italo,Italia,FALSE,1052,Italia,certain,,,nan,POINT (11.0949512 43.6941505),"Casa del Anfiteatro, bei",Emerita Augusta,Mérida,POINT (-6.3437 38.9161),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,19,"c(11.0949512, -6.3437, 43.6941505, 38.9161)"
HD000267/1,[--- Urb?]anus C(?)[---] Igabren[si-],[-],[---],Urbanus+?,NA,NA,NA,NA,NA,NA,NA,HD000267,Dis Manibus sacrum Urbanus C Igabrensi annorum pius in suis hic situs est sit tibi terra levis Primigenius Urbani libertus annorum VIIII pius in suis hic situs est sit tibi terra levis,epitaph,151,200,Igabrensis+,Igabrensis,FALSE,265919,Igabrum/Egabrum,certain,,,nan,POINT (-4.425943 37.474155),NULL,Igabrum,Cabra,POINT (-4.4259 37.4744),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,20,"c(-4.425943, -4.4259, 37.474155, 37.4744)"
HD000272/4,Nigro et Rufo et Prisco Turdulis Veteribus,NA,NA,Niger,NA,male,NA,NA,NA,NA,NA,HD000272,Quinto Caecilio Metello Aulo Licinio consulibus Decimus Iulius Decimi filius Galeria Cilo hospitium fecit sibi liberis posteris que suis cum Nigro et Rufo et Prisco Turdulis Veteribus liberis posteris que eorum,private legal inscription,7,NA,Turdulus Vetus,Turdulus Vetus,FALSE,236695,Turduli Veteres,certain,,,nan,POINT (-8.44365905977 40.9908379194),"Idanha, Wohnhaus",Civitas Igaeditanorum,Idanha-a-Velha,POINT (-7.1435 39.9965),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21,"c(-8.44365905977, -7.1435, 40.9908379194, 39.9965)"
HD000272/5,Nigro et Rufo et Prisco Turdulis Veteribus,NA,NA,Rufus,NA,male,NA,NA,NA,NA,NA,HD000272,Quinto Caecilio Metello Aulo Licinio consulibus Decimus Iulius Decimi filius Galeria Cilo hospitium fecit sibi liberis posteris que suis cum Nigro et Rufo et Prisco Turdulis Veteribus liberis posteris que eorum,private legal inscription,7,NA,Turdulus Vetus,Turdulus Vetus,FALSE,236695,Turduli Veteres,certain,,,nan,POINT (-8.44365905977 40.9908379194),"Idanha, Wohnhaus",Civitas Igaeditanorum,Idanha-a-Velha,POINT (-7.1435 39.9965),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,22,"c(-8.44365905977, -7.1435, 40.9908379194, 39.9965)"
HD000272/6,Nigro et Rufo et Prisco Turdulis Veteribus,NA,NA,Priscus,NA,male,NA,NA,NA,NA,NA,HD000272,Quinto Caecilio Metello Aulo Licinio consulibus Decimus Iulius Decimi filius Galeria Cilo hospitium fecit sibi liberis posteris que suis cum Nigro et Rufo et Prisco Turdulis Veteribus liberis posteris que eorum,private legal inscription,7,NA,Turdulus Vetus,Turdulus Vetus,FALSE,236695,Turduli Veteres,certain,,,nan,POINT (-8.44365905977 40.9908379194),"Idanha, Wohnhaus",Civitas Igaeditanorum,Idanha-a-Velha,POINT (-7.1435 39.9965),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,23,"c(-8.44365905977, -7.1435, 40.9908379194, 39.9965)"
HD000275/4,Lugario Septanii f. ex Turduleis Veteribus,NA,NA,Lugarius,NA,male,NA,NA,NA,NA,NA,HD000275,Quinto Sulpicio Camerino Caio Poppaeo Sabino consulibus Decimus Iulius Marci filius Galeria Cilo hospitium fecit cum Lugario Septanii filio ex Turduleis Veteribus eum que et leiberos posteros que eius in fidem clientelam que suam recepit leiberorum posterorum que suorum egit Lugarius Septanii,private legal inscription,9,NA,ex Turduleis Veteribus,Turduleis Veteribus,FALSE,236695,Turduli Veteres,certain,,,nan,POINT (-8.44365905977 40.9908379194),"Idanha, Wohnhaus",Civitas Igaeditanorum,Idanha-a-Velha,POINT (-7.1435 39.9965),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,24,"c(-8.44365905977, -7.1435, 40.9908379194, 39.9965)"
HD000335/1,M. Iulius Avitus Olisip.,M.,Iulius,Avitus,NA,male,30,NA,NA,NA,NA,HD000335,Marcus Iulius Avitus Olisiponensis annorum XXX hic situs est,epitaph,1,200,Olisiponensis*,Olisiponensis,FALSE,256338,Olisipo,certain,,,nan,POINT (-9.135507 38.707166),NULL,Pax Iulia,Beja,POINT (-7.8652 38.0156),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,25,"c(-9.135507, -7.8652, 38.707166, 38.0156)"
HD000358/1,C. Cassius C.f. Cla. Valens Var[var.],C.,Cassius,Valens,NA,male,NA,Claudia,NA,NA,NA,HD000358,Caius Cassius Cai filius Claudia Valens Varvaria,epitaph,1,100,Varvaria+*,Varvaria,TRUE,197574,Varvaria,certain,,,nan,POINT (15.842858 43.925326),Fort Stahlberg,Mogontiacum,Mainz,POINT (8.2569 49.9897),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,26,"c(15.842858, 8.2569, 43.925326, 49.9897)"
HD000423/1,C. Iulius Paris Igil.,C.,Iulius,Paris,NA,NA,35,NA,NA,NA,NA,HD000423,Caius Iulius Paris Igilgili vixit annos XXXV hic est situs,epitaph,1,100,Igilgili*,Igilgili,TRUE,305095,Igilgili,certain,,,nan,POINT (5.765676 36.820982),NULL,Sicca Veneria,Le Kef,POINT (8.7049 36.1742),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,27,"c(5.765676, 8.7049, 36.820982, 36.1742)"
HD000432/1,C. Cla. Claudi Maximi f. Floro Sunuco,C.,Claudius*,Florus,NA,male,NA,NA,NA,NA,NA,HD000432,Caio Claudio Claudi Maximi filio Floro Sunuco Claudia Severa mater faciendum curavit civitas Aeduorum locum sepulturae monumentum publice donavit,epitaph,51,130,Sunucus,Sunucus,FALSE,109358,Sunuci,certain,,,nan,POINT (6.31570753763 50.7951334955),"Nekropole Saint-Irénée, sekundär verwendet",Lugdunum,Lyon,POINT (4.85 45.75),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,28,"c(6.31570753763, 4.85, 50.7951334955, 45.75)"
HD000493/1,P. Ael. Cl. Col. Vol.,P.,Aelius*,Col(---),NA,male,NA,Claudia,military personnel,names of pagan deities,NA,HD000493,Iovi Optimo Maximo Dolicheno Publius Aelius Claudia Col Iprimus pilus legionis Volubili III Augustae,votive inscription,151,250,Volubilis*,Volubilis,TRUE,275740,Volubilis,certain,,,nan,POINT (-5.55486856497 34.0728746739),NULL,Lambaesis,Tazoult-Lambèse,POINT (6.2607 35.4817),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,29,"c(-5.55486856497, 6.2607, 34.0728746739, 35.4817)"
HD000532/1,M. Aur. Sallumas domo Hemesa,M.,Aurelius*,Sallumas,NA,male,82,NA,military personnel,NA,NA,HD000532,Dis Manibus Marcus Aurelius Sallumas veteranus ex tesserario cohortis miliariae Hemesenorum domo Hemesa annorum LXXXII vivo sibi et Aureliae matri et quondam coniugi NV,epitaph,231,270,domo Hemesa,Hemesa,FALSE,668261,(H)Emesa,certain,,,nan,POINT (36.719319 34.7376565),Weinberg des Gáspár Farkas,Intercisa,Dunaújváros,POINT (18.9355 46.9619),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,30,"c(36.719319, 18.9355, 34.7376565, 46.9619)"
HD000538/6,Culso Atedumi fil. Eravisco,NA,NA,Culsus,NA,male,NA,NA,military personnel,names of pagan deities,NA,HD000538,Imperator Caesar divi Hadriani filius divi Traiani Parthici nepos divi Nervae pronepos Titus Aelius Hadrianus Antoninus Augustus Pius pontifex maximus tribunicia potestate XIX imperator II consul IIII pater patriae equitibus et peditibus qui militaverunt in alis V quae appellantur I Thracum veterana sagittariorum et I civium Romanorum et I praetoria civium Romanorum et I Flavia Augusta Britannica Mmiliaria et I Augusta Ituraeorum et cohortibus XIII I Alpinorum equitata et III Batavorum et I Thracum Germanica et I Alpinorum peditata et I Noricorum et III Lusitanorum et II Asturum et Callaecorum et VII Breucorum et I Lusitanorum et II Augusta Thracum et I Montanorum et I Campanorum voluntariorum et I Thracum civium Romanorum et sunt in Pannonia inferiore sub Iallio Basso legato quin que et viginti item classicis sex et viginti stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dedit et conubium cum uxoribus quas tunc habuissent cum est civitas is data aut cum is quas postea duxissent dumtaxat singulis ante diem VI Idus Februarias Marco Civica Barbaro Marco Metilio Regulo consulibus cohortis I Thracum Germanicae cui praeest Caius Turpilius Verecundus ex pedite Culso Atedumi filio Eravisco et Vervedae Tessimari filiae uxori eius Eraviscae descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam Imperator Caesar divi Hadriani filius divi Traiani Parthici nepos divi Nervae pronepos Titus Aelius Hadrianus Antoninus Augustus Pius pontifex maximus tribunicia potestate XVIIII imperator II consul IIII pater patriae equitibus et peditibus qui militaverunt in alis V quae appellantur I Thracum veterana sagittariorum et I civium Romanorum et I praetoria civium Romanorum et I Flavia Augusta Britannica Mmiliaria et I Augusta Ituraeorum et cohortibus XIII I Alpinorum equitata et III Batavorum et I Thracum Germanica et I Alpinorum peditata et I Noricorum et III Lusitanorum et II Asturum et Callaecorum et VII Breucorum et I Lusitanorum et II Augusta Thracum et I Montanorum et I Campanorum voluntariorum et I Thracum civium Romanorum et sunt in Pannonia inferiore sub Iallio Basso legato XXV item classicis XXVI stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dedit et conubium cum uxoribus quas tunc habuissent cum est civitas is data aut cum is quas postea duxissent dumtaxat singulis ante diem VI Idus Februarias Marco Civica Barbaro et Regulo consulibus cohortis I Thracum Germanicae cui praeest Caius Turpilius Verecundus ex pedite Culso Atedumi filio Eravisco et Vervedae Tessimari filiae uxori eius Canac descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam Marci Servili Getae Luci Pulli Chresimi Marci Sentili Iasi Tiberi Iuli Felicis Cai Belli Urbani Cai Pomponi Statiani Publi Ocili Prisci,military diploma,157,NA,Eraviscus,Eravisca,FALSE,197265,Eravisci,certain,,,nan,POINT (18.5757197082 47.2037665448),"Lager, bei",Lussonium,Dunakömlőd,POINT (18.8824 46.6555),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,31,"c(18.5757197082, 18.8824, 47.2037665448, 46.6555)"
HD000538/8,Vervedae Tessimari fil. Era.,NA,NA,Verveda,NA,female,NA,NA,NA,names of pagan deities,NA,HD000538,Imperator Caesar divi Hadriani filius divi Traiani Parthici nepos divi Nervae pronepos Titus Aelius Hadrianus Antoninus Augustus Pius pontifex maximus tribunicia potestate XIX imperator II consul IIII pater patriae equitibus et peditibus qui militaverunt in alis V quae appellantur I Thracum veterana sagittariorum et I civium Romanorum et I praetoria civium Romanorum et I Flavia Augusta Britannica Mmiliaria et I Augusta Ituraeorum et cohortibus XIII I Alpinorum equitata et III Batavorum et I Thracum Germanica et I Alpinorum peditata et I Noricorum et III Lusitanorum et II Asturum et Callaecorum et VII Breucorum et I Lusitanorum et II Augusta Thracum et I Montanorum et I Campanorum voluntariorum et I Thracum civium Romanorum et sunt in Pannonia inferiore sub Iallio Basso legato quin que et viginti item classicis sex et viginti stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dedit et conubium cum uxoribus quas tunc habuissent cum est civitas is data aut cum is quas postea duxissent dumtaxat singulis ante diem VI Idus Februarias Marco Civica Barbaro Marco Metilio Regulo consulibus cohortis I Thracum Germanicae cui praeest Caius Turpilius Verecundus ex pedite Culso Atedumi filio Eravisco et Vervedae Tessimari filiae uxori eius Eraviscae descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam Imperator Caesar divi Hadriani filius divi Traiani Parthici nepos divi Nervae pronepos Titus Aelius Hadrianus Antoninus Augustus Pius pontifex maximus tribunicia potestate XVIIII imperator II consul IIII pater patriae equitibus et peditibus qui militaverunt in alis V quae appellantur I Thracum veterana sagittariorum et I civium Romanorum et I praetoria civium Romanorum et I Flavia Augusta Britannica Mmiliaria et I Augusta Ituraeorum et cohortibus XIII I Alpinorum equitata et III Batavorum et I Thracum Germanica et I Alpinorum peditata et I Noricorum et III Lusitanorum et II Asturum et Callaecorum et VII Breucorum et I Lusitanorum et II Augusta Thracum et I Montanorum et I Campanorum voluntariorum et I Thracum civium Romanorum et sunt in Pannonia inferiore sub Iallio Basso legato XXV item classicis XXVI stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dedit et conubium cum uxoribus quas tunc habuissent cum est civitas is data aut cum is quas postea duxissent dumtaxat singulis ante diem VI Idus Februarias Marco Civica Barbaro et Regulo consulibus cohortis I Thracum Germanicae cui praeest Caius Turpilius Verecundus ex pedite Culso Atedumi filio Eravisco et Vervedae Tessimari filiae uxori eius Canac descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam Marci Servili Getae Luci Pulli Chresimi Marci Sentili Iasi Tiberi Iuli Felicis Cai Belli Urbani Cai Pomponi Statiani Publi Ocili Prisci,military diploma,157,NA,Eravisca*,Eravisca,FALSE,197265,Eravisci,certain,,,nan,POINT (18.5757197082 47.2037665448),"Lager, bei",Lussonium,Dunakömlőd,POINT (18.8824 46.6555),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,32,"c(18.5757197082, 18.8824, 47.2037665448, 46.6555)"
HD000570/1,Vindicin. [--- col. Cl. A]grippin.,NA,Vindicinius*,[---],NA,male,NA,NA,military personnel,NA,NA,HD000570,Dis Manibus et memoriae aeternae Vindicini colonia Claudia Agrippinensium veterani missi honesta missione ex aquilifero legionis I Minerviae piae fidelis Vindicinius Paternus heres ponendum curavit,epitaph,197,275,colonia+* Claudia+* Agrippinensium+*,colonia Agrippinensium,FALSE,108751,Ara Ubiorum/ Col. Claudia Ara  Agrippinensium,certain,,,nan,POINT (6.9599065 50.940662),"Frühchristl. Basilika Quartier St. Just, sekundär verwendet",Lugdunum,Lyon,POINT (4.85 45.75),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,33,"c(6.9599065, 4.85, 50.940662, 45.75)"
HD000600/1,[--- Pompt?]ina A[rr]etio,[-],[---],[---],NA,male,NA,Pomptina+,military personnel,NA,NA,HD000600,Pomptina Arretio miles legionis VII anniorum VM stipendiorum IX hic situs,epitaph,9,57,Arretio+,Arretio,FALSE,413032,Arretium,certain,,,nan,POINT (11.863048 43.471274),1-279 etc. bleibend (111),Salonae - 0a1,Solin - 0a1,POINT (16.4942 43.5445),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34,"c(11.863048, 16.4942, 43.471274, 43.5445)"
HD000658/1,L. Iul. Ga[---] civi Treve[ro],L.,Iulius*,Ga[---],NA,male,45,NA,NA,NA,NA,HD000658,Dis Manibus Lucio Iulio Ga civi Trevero annorum XXXXV Iulia Egloge patrono et coniugi,epitaph,131,200,civis Treverus+,Trevir,FALSE,109390,Treveri,certain,,,nan,POINT (6.3794391642 49.7535677891),"Partoş, Strada Dacilor",Apulum,Alba Iulia,POINT (23.5578 46.0432),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,35,"c(6.3794391642, 23.5578, 49.7535677891, 46.0432)"
